POST /songs 400 3.843 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:05 GMT
POST /songs 201 1220.217 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:11 GMT
GET /songs 200 178.932 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:15 GMT
POST /api/v1/songs 201 665.626 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:39:10 GMT
GET /api/v1/stats 200 2818.064 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:39:52 GMT
GET /api/v1/songs 200 3592.047 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:39:53 GMT
GET /api/v1/songs 304 312.865 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:39:53 GMT
GET /api/v1/stats 304 1130.016 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:39:53 GMT
POST /api/v1/songs 201 1692.516 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:40:22 GMT
GET /api/v1/songs 200 4703.419 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:42:21 GMT
GET /api/v1/stats 200 16452.745 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:42:32 GMT
GET /api/v1/songs 304 280.362 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:08 GMT
GET /api/v1/stats 304 1347.189 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:09 GMT
GET /api/v1/songs 304 2741.089 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:20 GMT
GET /api/v1/songs 304 241.100 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:20 GMT
GET /api/v1/stats 304 3598.946 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:21 GMT
GET /api/v1/stats 304 5468.992 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:26 GMT
POST /api/v1/songs 201 270.301 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:37 GMT
GET /api/v1/songs 200 248.906 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:37 GMT
GET /api/v1/stats 200 1150.472 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:45:39 GMT
GET /api/v1/songs 304 732.280 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:46:47 GMT
GET /api/v1/stats 304 1612.796 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:46:47 GMT
